candidate_id,Проблема,Тип_проблемы,Complexity_score,Частота_упоминаний,Количество_субъектов,Количество_действий,Количество_связей,Плотность_подграфа,Территории,Проблемные_признаки,Ключевые_сущности,Действия,Подтверждающие_обращения
kp_0048,подъезд: затопление/протечка,жилищно-коммунальное,0.2,2,2,4,6,1.0,работает освещение в 3м,затопление/протечка,подъезд; жители; подрядчик; затопление/протечка; работает освещение в 3м; жилищно-коммунальное,опасно; затоплено; не убирает; не работает,2
kp_0049,освещение: техническая неисправность,безопасность,0.199,2,2,4,5,1.0,работает освещение в 3м,техническая неисправность,освещение; подрядчик; жители; техническая неисправность; работает освещение в 3м; безопасность,не работает; повреждено; опасно; затоплено,2
kp_0050,парк/сквер: аварийное состояние,благоустройство,0.198,3,1,3,5,1.0,территории между домамиворошилова 25/2; территории между домами 25/2,аварийное состояние,парк/сквер; жители; аварийное состояние; территории между домамиворошилова 25/2; территории между домами 25/2; благоустройство,опасно; не устраняет; затоплено,3
kp_0051,дорога: отсутствие услуги,инфраструктура,0.196,3,1,3,6,1.0,на энергетиков в 60х,отсутствие услуги,дорога; жители; отсутствие услуги; на энергетиков в 60х; инфраструктура,отсутствует; задержано; повреждено,3
kp_0052,водоснабжение: нарушение содержания территории,жилищно-коммунальное,0.195,2,2,3,4,1.0,по адресу бухарестская 31-5,нарушение содержания территории,водоснабжение; жители; управляющая компания; нарушение содержания территории; по адресу бухарестская 31-5; жилищно-коммунальное,загрязнено; затоплено; задержано,2
kp_0053,освещение: нарушение содержания территории,безопасность,0.195,2,1,4,5,1.0,заявки на 004,нарушение содержания территории,освещение; жители; нарушение содержания территории; заявки на 004; безопасность,не убирает; не устраняет; затоплено; задержано,2
kp_0054,лифт,жилищно-коммунальное,0.19,2,2,2,3,0.410714,что в 2007,проблемный сигнал,лифт; жители; управляющая компания; проблемный сигнал; что в 2007; жилищно-коммунальное,задержано; сообщает о проблеме,2
kp_0055,медицина,медицина,0.185,3,1,2,3,0.452381,по 18,проблемный сигнал,медицина; жители; проблемный сигнал; по 18,сообщает о проблеме; отсутствует,3
kp_0056,телефонные обращения по вопросам здравоохранения,телефонные обращения по вопросам здравоохранения,0.185,4,1,2,4,0.392857,долго более 10,проблемный сигнал,телефонные обращения по вопросам здравоохранения; жители; проблемный сигнал; долго более 10,сообщает о проблеме; задержано,4
kp_0057,подъезд,жилищно-коммунальное,0.182,6,2,1,6,0.470833,убирают 1; арка меду 4; перекрестку ежедневно с 6; на чердак во 2; дома искровский проспект 6,проблемный сигнал,подъезд; жители; управляющая компания; проблемный сигнал; убирают 1; арка меду 4; перекрестку ежедневно с 6; на чердак во 2; дома искровский проспект 6; жилищно-коммунальное,сообщает о проблеме,6
kp_0058,торговля,торговля,0.182,12,1,3,13,0.309524,,проблемный сигнал,торговля; жители; проблемный сигнал,сообщает о проблеме; отсутствует; задержано,12
kp_0059,благоустройство,благоустройство,0.179,25,3,2,26,0.132773,ул авангардная д23; большая пороховская 56; срок до 21; просвещения 15; переулок декабристов д 8,проблемный сигнал,благоустройство; жители; подрядчик; управляющая компания; проблемный сигнал; ул авангардная д23; большая пороховская 56; срок до 21; просвещения 15; переулок декабристов д 8,сообщает о проблеме; задержано,25
kp_0060,здравоохранение/медицина,здравоохранение/медицина,0.178,6,1,3,7,0.314103,го декабря 2021; очень много вызовов 56пликлиника; диабетом выписывают по 3; по обращению в 95,проблемный сигнал,здравоохранение/медицина; жители; проблемный сигнал; го декабря 2021; очень много вызовов 56пликлиника; диабетом выписывают по 3; по обращению в 95,сообщает о проблеме; отсутствует; задержано,6
kp_0061,дворы и территории общего пользования,дворы и территории общего пользования,0.177,10,2,3,10,0.295238,глубиной до 40,проблемный сигнал,дворы и территории общего пользования; жители; управляющая компания; проблемный сигнал; глубиной до 40,сообщает о проблеме; отсутствует; задержано,10
kp_0062,дороги,дороги,0.174,17,1,4,18,0.168091,срок до 23; обещали сначала до 11; заявка принята 2февраля; большая пороховская 56; уже на 2035-2050; уже ждем 50; ворошилова 25/1,проблемный сигнал,дороги; жители; проблемный сигнал; срок до 23; обещали сначала до 11; заявка принята 2февраля; большая пороховская 56; уже на 2035-2050; уже ждем 50; ворошилова 25/1,сообщает о проблеме; задержано; отсутствует; опасно,17
kp_0063,мусор/свалки/тко,мусор/свалки/тко,0.174,7,1,2,7,0.336364,катерников 7,проблемный сигнал,мусор/свалки/тко; жители; проблемный сигнал; катерников 7,сообщает о проблеме; задержано,7
kp_0064,автомобильные дороги,автомобильные дороги,0.163,9,2,2,9,0.288462,,проблемный сигнал,автомобильные дороги; управляющая компания; жители; проблемный сигнал,сообщает о проблеме; задержано,9
kp_0065,дороги: нарушение содержания территории,дороги,0.157,3,2,1,3,1.0,бабушкина 52,нарушение содержания территории,дороги; жители; администрация; нарушение содержания территории; бабушкина 52,не убирает,3
kp_0066,образование,образование,0.156,10,1,3,11,0.192105,ребенку 3; за фомина 14; сиреневый бульвар 1; дорог уже лет 6; ул. вологдина в 2023; городе только 100; ребенка имеет инвалидность 3,проблемный сигнал,образование; жители; проблемный сигнал; ребенку 3; за фомина 14; сиреневый бульвар 1; дорог уже лет 6; ул. вологдина в 2023; городе только 100; ребенка имеет инвалидность 3,сообщает о проблеме; задержано; отсутствует,10
kp_0067,многоквартирные дома,многоквартирные дома,0.154,3,1,1,3,0.404762,проверялась в течение 40,проблемный сигнал,многоквартирные дома; жители; проблемный сигнал; проверялась в течение 40,сообщает о проблеме,3
kp_0068,жкх,жкх,0.153,7,1,3,7,0.233333,ленинский проспект 77; планируются выполняться с 12; пс взял 30; заявка по телефону 6040000; нас во 2,проблемный сигнал,жкх; жители; проблемный сигнал; ленинский проспект 77; планируются выполняться с 12; пс взял 30; заявка по телефону 6040000; нас во 2,сообщает о проблеме; задержано; отсутствует,7
kp_0069,безопасность,безопасность,0.15,3,1,1,3,0.5,,проблемный сигнал,безопасность; жители; проблемный сигнал,сообщает о проблеме,3
kp_0070,дороги: аварийное состояние,дороги,0.15,3,1,1,3,1.0,,аварийное состояние,дороги; жители; аварийное состояние,опасно,3
kp_0071,коронавирус,коронавирус,0.15,3,1,1,3,0.5,,проблемный сигнал,коронавирус; жители; проблемный сигнал,сообщает о проблеме,3
